beta,acc_reconstruida,acc_guardada,conf_media,conf_std,entropia_media,entropia_std,conf_correcta,conf_incorrecta,brecha_confianza,ece,logit_std,logit_mean_abs,frac_saturada
1.0,0.6467666666666667,0.6467666625976562,0.10556601,0.0028998621,2.3020844,0.00040097258,0.10629134,0.10423798,0.0020533577,0.5412006567875545,0.03193695,0.024636157,0.0
50.0,0.8328833333333333,0.832883358001709,0.47891334,0.1885559,1.6148564,0.42056444,0.5148999,0.29956228,0.21533763,0.3539699621414144,1.1646848,0.8945555,0.0
100.0,0.8775333333333334,0.8775333166122437,0.6934286,0.20941752,0.9899532,0.5231939,0.7300583,0.43095887,0.29909945,0.18410476704140502,2.0610359,1.6040921,0.0001
150.0,0.8958166666666667,0.8958166837692261,0.77335024,0.19767666,0.7349778,0.4989424,0.8059095,0.49339074,0.31251878,0.12246639992147686,2.7142632,2.200992,0.0033333333333333335
200.0,0.9043,0.9043000340461731,0.8091348,0.18855521,0.6171127,0.4751818,0.8388864,0.52800363,0.31088275,0.09518334623227517,3.2248948,2.7577155,0.009116666666666667
250.0,0.9073333333333333,0.907333254814148,0.82861936,0.18228996,0.55150634,0.4576887,0.85737896,0.54702306,0.3103559,0.07875919115170836,3.641403,3.2041142,0.016266666666666665
300.0,0.9105666666666666,0.9105666875839233,0.8408677,0.17864874,0.5099214,0.44826406,0.8683599,0.56095487,0.30740505,0.0696990099246303,3.9975493,3.5740924,0.0252
350.0,0.90965,0.9096499681472778,0.85015523,0.17461018,0.47822714,0.4364442,0.8777428,0.57240117,0.30534166,0.059494795942803234,4.282264,3.7104242,0.031966666666666664
400.0,0.91045,0.9104499816894531,0.8552597,0.17376442,0.45797643,0.43264526,0.8820714,0.5826663,0.2994051,0.05519022524903215,4.5622606,3.8261259,0.041833333333333333
450.0,0.9091333333333333,0.9091333150863647,0.8565905,0.17168023,0.45128486,0.42396665,0.88373595,0.58499706,0.2987389,0.05254283540273706,4.800507,3.8041859,0.0382
