inl_tag,carpeta,pulsos_pot,beta,n,series,media,std,iqr,skew,kurtosis,shapiro_p
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1.0,100,20,0.6461509,0.0042145513,0.005291655659675598,-0.1253036073049767,0.48428932672973124,0.8047367942316125
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,50.0,100,20,0.83202255,0.0031889835,0.004666686058044434,-0.3060047355125254,-0.34110141734739763,0.23568527938579326
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,100.0,100,20,0.8765117,0.0027911018,0.0033333301544189453,-0.46303901437119765,0.17570403802008494,0.05620274133191185
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,150.0,100,20,0.8943641,0.0027272839,0.0027499794960021973,-0.04819471308272812,0.4695207989839818,0.2888200696862945
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,200.0,100,20,0.90256166,0.0028627557,0.0031249672174453735,-0.4790837746805409,1.3931212256314058,0.026911961137535627
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,250.0,100,20,0.9064567,0.0027532587,0.0030624717473983765,-0.6359494299342078,1.3224988618805629,0.04665841661720393
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,300.0,100,20,0.9083549,0.0030609597,0.002958357334136963,-1.153884641521051,3.260507677866161,4.2712789380759015e-05
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,350.0,100,20,0.90906656,0.0037546465,0.005437523126602173,-0.7422970821311732,1.3372024309936892,0.00771428002204962
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,400.0,100,20,0.9084584,0.004529344,0.005541682243347168,-0.8732892933926755,1.1481668439663082,0.0008096403635016684
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,450.0,100,20,0.9081917,0.004541949,0.005166664719581604,-1.2851363297774754,2.8417578760122426,2.1804057375517135e-05
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,500.0,100,20,0.90664506,0.005648486,0.0066666752099990845,-0.8130417881211931,1.1582068493808153,0.005122123461646612
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,550.0,100,20,0.903995,0.0066189324,0.008874982595443726,-0.5810578980024251,-0.22094134618596506,0.00396906297845443
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,600.0,100,20,0.90059173,0.0072582215,0.011354178190231323,-0.17978345246044447,-0.8514226092616224,0.06291148341313804
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,650.0,100,20,0.89700586,0.008868926,0.014541685581207275,-0.012030494986192799,-0.8289750652494803,0.20304869973521272
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,700.0,100,20,0.8925667,0.009749437,0.01472918689250946,-0.331793482436877,-0.5944240233850882,0.03706895242143843
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,750.0,100,20,0.88676995,0.011523011,0.018937498331069946,-0.16792940982721483,-0.9195051912747116,0.03367159801748653
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,800.0,100,20,0.8802733,0.014724156,0.023958325386047363,0.10989430898366279,-0.971739454946746,0.008025050143475272
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,850.0,100,20,0.8724516,0.015905932,0.020041704177856445,-0.1399680183886119,-0.4956909881863556,0.2524877269907514
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,900.0,100,20,0.8633366,0.019846246,0.02510419487953186,-0.013949781338505173,-0.46055201625652487,0.08167121151573109
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,950.0,100,20,0.84935415,0.020073427,0.02889581024646759,-0.008635475812971534,-0.5158960917010078,0.5807143338787544
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1000.0,100,20,0.8421125,0.02152043,0.02529163658618927,0.33644261349204646,0.10038484930624092,0.11723329639402491
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1050.0,100,20,0.82668746,0.027242959,0.037895843386650085,0.39794319092447683,-0.028611432742313703,0.11671488265439817
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1100.0,100,20,0.81733835,0.025568625,0.035374969244003296,0.2120272605168881,-0.09734214749028647,0.6111917153640628
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1150.0,100,20,0.80548406,0.023366727,0.03368750214576721,0.24652172430276142,-0.060360436234203174,0.4728606159178617
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1200.0,100,20,0.79644585,0.024556221,0.025479182600975037,0.46105081863059666,0.9277159136274231,0.018747469047774832
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1250.0,100,20,0.7936724,0.023125289,0.028729185461997986,0.5081246250250605,0.9604094463102681,0.07986973823970799
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1300.0,100,20,0.77688414,0.024091508,0.028104156255722046,-0.21325778863458741,0.10646049240684397,0.8387879757073309
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1350.0,100,20,0.77188414,0.025888273,0.027187511324882507,-0.060641885267953125,0.40576863466219537,0.23984867332307652
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1400.0,100,20,0.7679042,0.025122203,0.03564581274986267,0.41135934688311826,0.9284271177062551,0.0719650835189741
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1450.0,100,20,0.76017,0.026721353,0.033854201436042786,0.5416164538536516,1.3411043823928397,0.06028120655083412
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1500.0,100,20,0.7567883,0.027416784,0.02937498688697815,0.6867822308158151,2.789848459832773,0.0017015107575009466
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1550.0,100,20,0.75198257,0.027042307,0.03352080285549164,0.11424702599775738,-0.180643673167443,0.769235397414091
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1600.0,100,20,0.7455009,0.026375594,0.031291648745536804,0.9579906407618528,2.8972824424462553,0.0012064140068529085
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1650.0,100,20,0.7365291,0.028971052,0.03760415315628052,0.24266499824751964,0.024673338173963444,0.6793349248564062
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1700.0,100,20,0.7326483,0.027323646,0.032458335161209106,0.42340080657413376,1.0386331365590715,0.14772910811219236
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1750.0,100,20,0.7296966,0.031742822,0.0337500125169754,0.35371713818477496,0.27480273457849025,0.15298107238531378
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1800.0,100,20,0.7232517,0.027880212,0.03939582407474518,-0.557718972303082,0.2502703246332043,0.057262765273200664
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1850.0,100,20,0.7202617,0.027559672,0.03358332812786102,-0.127916983364671,-0.22172454371359684,0.4336648840887328
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1900.0,100,20,0.7201617,0.029932294,0.02974998950958252,0.9379034122580712,2.2675856488151753,0.000420474291633093
1e-2,beta_grid_search_SP_INL_1e-2_p_100,100,1950.0,100,20,0.71546423,0.02963306,0.03864583373069763,-0.3463773427677324,-0.1188311336449801,0.3564109607993683
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,1.0,100,20,0.64622915,0.0043270667,0.005937486886978149,-0.0690837130693489,0.4199979664625526,0.8588142168282511
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,50.0,100,20,0.8325901,0.0031056395,0.004104167222976685,-0.08701922745539072,-0.4808913699596866,0.6837329037457134
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,100.0,100,20,0.8772359,0.0028230927,0.0033541619777679443,-0.3512917649783183,-0.2690904056797816,0.25855547897669867
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,150.0,100,20,0.89573586,0.0025184245,0.003000020980834961,-0.06643019765508638,0.30481476093751114,0.614989581831614
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,200.0,100,20,0.90457654,0.0024759686,0.003104180097579956,0.08060801347499619,0.6707335379845509,0.46875177177247557
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,250.0,100,20,0.90886587,0.0025415719,0.003083348274230957,-0.03159238754238114,0.5773507293424252,0.58186896362382
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,300.0,100,20,0.91148585,0.002540719,0.003229185938835144,-0.2697854302282687,0.71132328887172,0.629943104377389
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,350.0,100,20,0.91318506,0.0025260043,0.003416717052459717,-0.2483229406048015,0.39427058709239793,0.6773148717288213
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,400.0,100,20,0.9142766,0.00253726,0.003145843744277954,-0.4212628571644995,1.0039276920747309,0.23868563132229326
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,450.0,100,20,0.9151116,0.0024070924,0.002895861864089966,-0.42254297069022806,0.8445007643151157,0.26946219095172486
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,500.0,100,20,0.9155916,0.0024739264,0.003500044345855713,-0.30788100695145215,0.45025001257559305,0.6805778892028664
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,550.0,100,20,0.9158909,0.002398225,0.0037083029747009277,-0.27408162224634386,0.18755175951206704,0.5045898949100969
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,600.0,100,20,0.9160475,0.0028506164,0.003791630268096924,-0.6573584175178014,1.034013096581484,0.04583252283489096
1e-2,beta_grid_search_SP_INL_1e-2_p_200,200,650.0,100,20,0.9161115,0.0028261994,0.003104180097579956,-0.5903607728868586,1.1334554359014497,0.06916184521445692
