modelo,intercept,coef_log_sigma_I,coef_log_paso_medio,R2
solo_sigma_I_mc_corregido,-10.866705497546603,-2.998062587320967,,0.495894322084538
combinado_sigma_I_mc_corregido,-18.079215915767346,-3.00239246501837,-0.6188785398890069,0.9297832579910905
solo_sigma_I_real_ep1,5.325663011501218,-0.17855320671147504,,0.005556542142756693
combinado_sigma_I_real_ep1,-0.8981530118721727,0.12188194269845476,-0.6268428934490998,0.43495431381369387
solo_sigma_I_real_epLast,81.83532742651941,21.989704957401017,,0.20218672705734886
combinado_sigma_I_real_epLast,-56.91051105464486,-15.314780821184605,-0.8623782137278848,0.4627924977096023
