curva,beta_hidden,beta_output,acc_mean,acc_sem,tiempo_seg
lineal,53.16119130868569,53.16119130868569,0.8727666666666667,0.0020889036642503266,275.3
lineal,53.16119130868569,84.38813100729034,0.8935333333333334,0.0017292151934288607,286.3
lineal,53.16119130868569,133.95780793460293,0.9077666666666667,0.0023723328103288904,293.4
lineal,53.16119130868569,212.64476523474278,0.91775,0.0010255080041943617,298.7
lineal,53.16119130868569,337.5525240291613,0.9284166666666667,0.0008077174056607872,301.2
lineal,53.16119130868569,535.8312317384118,0.9396000000000001,0.0007118052168020888,304.0
lineal,53.16119130868569,850.5790609389713,0.9373333333333335,0.001966431247679892,305.4
lineal,53.16119130868569,3402.316243755884,0.93305,0.009055477163941535,305.7
lineal,53.16119130868569,1350.2100961166457,0.9461166666666667,0.005698164096801178,306.1
lineal,53.16119130868569,2143.3249269536454,0.9520666666666667,0.0018418489100378084,306.3
lineal,84.38813100729034,53.16119130868569,0.8934333333333333,0.0018318681013492011,287.3
lineal,84.38813100729034,84.38813100729034,0.9076666666666666,0.002368348385283315,293.8
lineal,84.38813100729034,133.95780793460293,0.9194333333333332,0.0018478716485810294,297.9
lineal,84.38813100729034,212.64476523474278,0.9291,0.001125709652717882,301.5
lineal,84.38813100729034,337.5525240291613,0.9394499999999999,0.00013123346456684907,303.0
lineal,84.38813100729034,535.8312317384118,0.9397833333333333,0.002246148967719012,305.6
lineal,84.38813100729034,850.5790609389713,0.9519833333333333,0.0009922850546237327,307.0
lineal,84.38813100729034,1350.2100961166457,0.9522666666666666,0.003507874739095637,307.1
lineal,84.38813100729034,2143.3249269536454,0.8955166666666668,0.0101891645424968,306.7
lineal,84.38813100729034,3402.316243755884,0.9359666666666667,0.00910208563808114,306.8
lineal,133.95780793460293,53.16119130868569,0.9077333333333333,0.0023243079416048647,293.7
lineal,133.95780793460293,84.38813100729034,0.9183,0.0011556623882239584,297.1
lineal,133.95780793460293,133.95780793460293,0.9285666666666667,0.0007216236836057561,300.7
lineal,133.95780793460293,212.64476523474278,0.9398666666666667,0.0005448411253309099,305.9
lineal,133.95780793460293,337.5525240291613,0.9412166666666667,0.002736312739327777,308.9
lineal,133.95780793460293,535.8312317384118,0.9531833333333334,0.002228892766142624,310.0
lineal,133.95780793460293,850.5790609389713,0.94815,0.007161820066621794,308.9
lineal,133.95780793460293,1350.2100961166457,0.91675,0.021914492921352308,309.1
lineal,133.95780793460293,2143.3249269536454,0.9345166666666667,0.007305870293177993,311.5
lineal,133.95780793460293,3402.316243755884,0.9042833333333333,0.02483398582289704,312.5
lineal,212.64476523474278,53.16119130868569,0.91775,0.0010255080041943617,308.9
lineal,212.64476523474278,84.38813100729034,0.9284166666666667,0.0008077174056607872,312.6
lineal,212.64476523474278,133.95780793460293,0.9396000000000001,0.0007118052168020888,315.5
lineal,212.64476523474278,212.64476523474278,0.9373333333333335,0.001966431247679892,314.9
lineal,212.64476523474278,337.5525240291613,0.9461166666666667,0.005698164096801178,316.4
lineal,212.64476523474278,850.5790609389713,0.93305,0.009055477163941535,313.9
lineal,212.64476523474278,535.8312317384118,0.9520666666666667,0.0018418489100378084,315.9
lineal,212.64476523474278,1350.2100961166457,0.9120333333333335,0.012260830435291206,316.0
lineal,212.64476523474278,2143.3249269536454,0.9175333333333334,0.010563310017154584,316.6
lineal,212.64476523474278,3402.316243755884,0.8350166666666667,0.03283304850412272,317.5
lineal,337.5525240291613,53.16119130868569,0.9291,0.001125709652717882,308.8
lineal,337.5525240291613,84.38813100729034,0.9394499999999999,0.00013123346456684907,311.8
lineal,337.5525240291613,133.95780793460293,0.9397833333333333,0.002246148967719012,313.6
