curva,beta_hidden,beta_output,acc_mean,acc_sem,tiempo_seg
lineal,53.16119130868569,53.16119130868569,0.8619833333333333,0.001491146712606944,280.4
lineal,53.16119130868569,84.38813100729034,0.8905833333333333,0.0015953636529597679,288.2
lineal,53.16119130868569,133.95780793460293,0.9084833333333333,0.001999490675887986,296.9
lineal,53.16119130868569,212.64476523474278,0.9186833333333334,0.002300885497819045,303.6
lineal,53.16119130868569,337.5525240291613,0.9230333333333333,0.002313887221554675,308.3
lineal,53.16119130868569,535.8312317384118,0.9207333333333333,0.002969973188555886,312.2
lineal,53.16119130868569,850.5790609389713,0.9162666666666667,0.002748972872156419,313.8
lineal,53.16119130868569,1350.2100961166457,0.9058666666666667,0.0048865651042955234,315.2
lineal,53.16119130868569,2143.3249269536454,0.9100833333333335,0.002200547070027665,315.8
lineal,53.16119130868569,3402.316243755884,0.8770833333333333,0.01621738322043722,316.3
lineal,84.38813100729034,53.16119130868569,0.8839,0.0015855247992033847,290.8
lineal,84.38813100729034,84.38813100729034,0.9047666666666667,0.0019296420700530095,298.3
lineal,84.38813100729034,133.95780793460293,0.92035,0.001845866252528133,305.6
lineal,84.38813100729034,212.64476523474278,0.9291666666666666,0.0015019123612051153,309.5
lineal,84.38813100729034,337.5525240291613,0.9321166666666668,0.0027699110829424575,312.9
lineal,84.38813100729034,535.8312317384118,0.9286333333333334,0.001998517969414846,315.4
lineal,84.38813100729034,850.5790609389713,0.9208666666666666,0.004774372171252427,317.9
lineal,84.38813100729034,1350.2100961166457,0.9081333333333332,0.007837741076686913,318.0
lineal,84.38813100729034,2143.3249269536454,0.9055666666666667,0.010648143639290498,319.4
lineal,84.38813100729034,3402.316243755884,0.86895,0.01186472362369503,320.9
lineal,133.95780793460293,53.16119130868569,0.8965833333333334,0.002157716557090101,295.3
lineal,133.95780793460293,84.38813100729034,0.9153833333333333,0.0023793478720641847,300.6
lineal,133.95780793460293,133.95780793460293,0.9302333333333334,0.0013569437336515924,305.4
lineal,133.95780793460293,212.64476523474278,0.9385,0.0018763143541409815,309.6
lineal,133.95780793460293,337.5525240291613,0.9382666666666667,0.0020760985490060955,312.9
lineal,133.95780793460293,535.8312317384118,0.9360833333333334,0.0011446332098909002,315.5
lineal,133.95780793460293,850.5790609389713,0.9285166666666665,0.005265840300851701,316.3
lineal,133.95780793460293,1350.2100961166457,0.9131499999999999,0.009060997001802113,316.0
lineal,133.95780793460293,2143.3249269536454,0.9162833333333333,0.011331233465596386,317.7
