modelo,intercept,coef_log_sigma_W,coef_log_paso_medio,coef_log_INL,coef_log_pulsos,R2,n,gl_residuales
solo_sigma_W,-18.017197621309037,-3.0503174658916863,,,,0.6063448301625555,18,16
solo_paso_medio,-1.1839680680698244,,-0.608209337982654,,,0.3325643876024085,18,16
combinado_sigmaW_pasomedio,-25.047163289759965,-3.0474631066320534,-0.6071708626364334,,,0.9377739950093086,18,15
directo_INL_pulsos,2.4192956859868584,,,-0.08812941526760537,0.6046020618715455,0.6325467260120206,18,15
