modelo,intercept,coef_sigma_W,coef_paso_medio,R2
solo_sigma_W,-17.838335006727625,-3.0259489473505936,,0.6781534548271309
solo_paso_medio,-2.0870808536234446,,-0.646437651334687,0.27326800876111723
combinado,-25.21574953507504,-3.0167422220161773,-0.6415343025497364,0.9472853316869886
