carpeta,inl_tag,pulsos_pot,a_pot,sigma_W,mean_W,paso_medio_pot,mean_I_mc,sigma_I_mc,sigma_I_clt,beta_optimo_empirico,kappa_mc,kappa_clt,beta_pred_combinada
beta_grid_search_SP_INL_1e-2_p_100,1e-2,100,98.55,0.00037894620730225,-5.156888805133618e-07,9.038186628152797e-06,-4.8905324278056935e-05,0.003552065666681117,0.003550991292183241,350.0,1.243222983338391,1.2428469522641343,403.9573381985438
beta_grid_search_SP_INL_1e-2_p_200,1e-2,200,197.99,0.00037963678670836163,-6.803828049524778e-07,4.509497271899518e-06,-6.455825185797958e-05,0.003558865379089067,0.003557462504746948,750.0,2.6691490343168,2.668096878560211,627.5717873485842
beta_grid_search_SP_INL_1e-2_p_50,1e-2,50,48.83,0.00037885274637115504,7.675216265875131e-07,1.8154351307559363e-05,8.213031416057839e-05,0.0035504481118349405,0.0035501154978196028,250.0,0.8876120279587352,0.8875288744549007,258.4272434410325
beta_grid_search_SP_INL_2e-1_p_100,2e-1,100,11.82,0.0005562534064479363,-1.006910537598485e-06,9.090739130297238e-06,-9.956265090130186e-05,0.0052138305451873606,0.005212483894761384,100.0,0.521383054518736,0.5212483894761384,126.42820895493229
beta_grid_search_SP_INL_2e-1_p_200,2e-1,200,23.76,0.000556470035732131,-8.767164190778956e-07,4.522570098551309e-06,-8.255157333916388e-05,0.005209817813115339,0.005214513862833326,200.0,1.0419635626230679,1.0429027725666653,197.63140769522607
beta_grid_search_SP_INL_2e-1_p_50,2e-1,50,5.85,0.0005570339063593057,1.2033916286691445e-06,1.8366682118813327e-05,0.00012759012857671643,0.005212504597003263,0.005219797725419708,100.0,0.5212504597003264,0.5219797725419708,80.17928035954998
