p,a,beta_optimo_empirico,inl_pot,mean_pot,mean_dep,mean_W,sigma_W,mean_I,std_I,rms_I,mean_over_std_I,beta_1_over_mean,beta_1_over_std_plus_mean,beta_1_over_rms,mean_betaI,std_betaI,rms_betaI,frac_betaI_gt1,frac_betaI_gt3,frac_betaI_gt10
50,48.83,250,0.009959610328542564,0.0006164569566776456,0.0004835430433223544,0.00013291391335529119,0.00036793921850767464,0.05210573064705,0.0060536308485228925,0.05245620661764547,8.60735184402002,19.191747003294648,165.24222468942094,19.063521067945757,13.026432661762493,1.513407712130723,13.114051654411364,1.0,1.0,0.977315
100,98.55,350,0.009984686048393763,0.0006203211131079711,0.0004796788868920289,0.00014064222621594218,0.0003661645912234214,0.055128918147600535,0.006038592528821093,0.05545865320988214,9.12943171516878,18.13930027290994,165.65663212062128,18.031451218541502,19.29512135166019,2.1135073850873822,19.41052862345874,1.0,1.0,0.999993
200,197.99,750,0.009996308077117336,0.000622251575263924,0.0004777484247360758,0.00014450315052784822,0.00036527625849862516,0.056649309105280585,0.006032983743528024,0.0569696508235332,9.389932330921992,17.65246594872919,165.81211004157703,17.55320570767685,42.486981828960424,4.5247378076460185,42.7272381176499,1.0,1.0,1.0
