modelo,intercept,coef_log_sigma_I,coef_log_paso_medio,R2
solo_sigma_I_mc_corregido,-11.225876220356055,-3.056478994515984,,0.6058480066069087
combinado_sigma_I_mc_corregido,-18.282996546566846,-3.0557378055028366,-0.6079405961999718,0.9381185314556337
solo_sigma_I_real_ep1,4.6937554494887355,-0.3327205337050745,,0.023675809730124953
combinado_sigma_I_real_ep1,-1.1621718906729166,0.010846859983150936,-0.6096634633966249,0.33258764913597083
solo_sigma_I_real_epLast,79.71630288316875,21.391237673744495,,0.15272102429968326
combinado_sigma_I_real_epLast,-61.27993640379975,-16.51584692697991,-0.8741067863202705,0.3600415910698864
