beta,acc_reconstruida,acc_guardada,conf_media,conf_std,entropia_media,entropia_std,conf_correcta,conf_incorrecta,brecha_confianza,ece,logit_std,logit_mean_abs,frac_saturada
1.0,0.6464666666666666,0.6464666128158569,0.105602406,0.0029187931,2.3020773,0.0004062007,0.1063349,0.104263,0.0020719022,0.5408642607013384,0.032149404,0.024800703,0.0
50.0,0.8328,0.832800030708313,0.48156875,0.1892767,1.6078908,0.4230917,0.5178942,0.30063683,0.21725738,0.35123121409292024,1.1722621,0.8998918,0.0
100.0,0.87785,0.8778499364852905,0.69754624,0.20940939,0.97696966,0.524062,0.73431516,0.4333012,0.30101395,0.18030369070197141,2.083284,1.608701,0.00013333333333333334
150.0,0.8962666666666667,0.8962666392326355,0.77858686,0.19663657,0.71801835,0.49684995,0.81120366,0.49677423,0.31442943,0.11767984118759632,2.7493677,2.192141,0.004066666666666666
200.0,0.9050166666666667,0.9050167202949524,0.815692,0.18619451,0.59629095,0.46958277,0.84545434,0.5321112,0.3133431,0.08932468149612345,3.271518,2.7533584,0.010766666666666667
250.0,0.9092166666666667,0.9092167019844055,0.8360054,0.17914194,0.52856404,0.450158,0.8642541,0.5530874,0.3111667,0.07323049418206015,3.7054734,3.3221536,0.019116666666666667
300.0,0.9121833333333333,0.912183403968811,0.84892577,0.17418961,0.48493934,0.4363386,0.8759558,0.5681548,0.307801,0.06327020752479631,4.087466,3.871427,0.026883333333333332
350.0,0.9141,0.9140999913215637,0.8578204,0.1705138,0.45446205,0.42569438,0.8839974,0.5792593,0.3047381,0.05629247997353476,4.4323697,4.3691773,0.0346
400.0,0.9151666666666667,0.9151666760444641,0.8642643,0.16765977,0.43230632,0.41750497,0.8899808,0.5868396,0.30314118,0.05090241475105288,4.7436647,4.743142,0.04186666666666667
450.0,0.9159166666666667,0.9159167408943176,0.8691511,0.1654221,0.4150478,0.41044718,0.8944863,0.59317625,0.30131006,0.046765534920493776,5.0194983,4.9769607,0.0487
500.0,0.9164333333333333,0.9164333343505859,0.8730549,0.16356733,0.4011707,0.40461686,0.89801615,0.59931827,0.2986979,0.0433783194705844,5.2958426,5.1754713,0.054983333333333335
550.0,0.9169833333333334,0.9169833064079285,0.87601656,0.16213855,0.39037064,0.40004924,0.90050805,0.60548943,0.2950186,0.040966772866994135,5.543557,5.308205,0.06071666666666667
600.0,0.9169333333333334,0.9169333577156067,0.87889427,0.16061741,0.38040382,0.39507666,0.903346,0.60898185,0.29436415,0.038050927805900595,5.7801347,5.2808523,0.06511666666666667
650.0,0.9174166666666667,0.9174165725708008,0.8810807,0.1597967,0.37263396,0.39246723,0.905244,0.61265045,0.29259354,0.03636225662032765,5.990966,5.3062744,0.07076666666666667
700.0,0.9165166666666666,0.9165166616439819,0.8834362,0.15836577,0.3639035,0.3883151,0.9076509,0.6175966,0.29005426,0.033231734658280984,6.173817,5.208609,0.07555
750.0,0.9166333333333333,0.9166333079338074,0.8854564,0.15722148,0.35718176,0.38483387,0.9094924,0.62117577,0.2883166,0.03117688439736767,6.3704867,5.40602,0.0784
800.0,0.9170166666666667,0.9170166254043579,0.8866091,0.15737449,0.3517267,0.3848775,0.9102097,0.62580633,0.28440338,0.030407659348845477,6.641612,5.4702864,0.08806666666666667
850.0,0.9167166666666666,0.9167166948318481,0.88849235,0.15591505,0.34545738,0.38132375,0.91195077,0.63027984,0.28167093,0.028535528188198808,6.8432755,5.24792,0.09116666666666666
900.0,0.9161666666666667,0.9161666631698608,0.89015865,0.1549855,0.33984062,0.37742433,0.91379017,0.6319036,0.28188658,0.026485110295812263,7.0176826,5.0584307,0.09503333333333333
950.0,0.9173333333333333,0.9173334240913391,0.8908078,0.15472548,0.33783656,0.3774981,0.91405755,0.6328113,0.28124624,0.026663276035587,7.2320886,5.3074756,0.09991666666666667
1000.0,0.9161166666666667,0.9161165952682495,0.8911181,0.15498564,0.33516762,0.37702495,0.91456765,0.63501817,0.27954948,0.024998622012635058,7.4073887,5.2743044,0.1028
1050.0,0.91565,0.9156500101089478,0.8923396,0.15459403,0.33095074,0.37666255,0.91579133,0.63776284,0.2780285,0.023310370139777672,7.5773315,5.174805,0.10981666666666667
1100.0,0.9119833333333334,0.9119833111763,0.891155,0.15630063,0.33095306,0.37734535,0.9152824,0.64115936,0.27412307,0.020828319762895484,7.916196,5.379918,0.11691666666666667
1150.0,0.9125,0.9125000238418579,0.8942493,0.15432818,0.32183838,0.37391552,0.9181787,0.64469963,0.27347904,0.018728373324374322,8.006137,5.461811,0.11843333333333333
1200.0,0.915,0.9149999618530273,0.89525473,0.1531194,0.31936523,0.36937475,0.9187352,0.6424953,0.27623993,0.020321231361230197,8.219927,5.662439,0.11976666666666666
1250.0,0.9126,0.9125999212265015,0.8945258,0.15474308,0.319663,0.37382454,0.9183821,0.6454275,0.27295458,0.018478554271658273,8.713706,6.3863144,0.12828333333333333
1300.0,0.9141,0.9141000509262085,0.89702106,0.15160593,0.31285682,0.36500925,0.9202254,0.6500931,0.2701323,0.017533570866783445,8.721433,6.346888,0.13028333333333333
